Index,Variable
1,getCellAreaBbox
14,getCellAreaConvex
2405,getEnergyB
2405,getEnergyR
373,getH10R
390,getH10R
522,getH10R
578,getH10R
655,getH10R
1072,getH10R
1183,getH10R
1230,getH10R
1237,getH10R
1265,getH10R
1273,getH10R
1293,getH10R
1335,getH10R
1455,getH10R
1659,getH10R
1665,getH10R
1682,getH10R
1852,getH10R
1884,getH10R
2368,getH10R
1209,getH13B
1282,getH13B
1837,getH13B
1847,getH13B
1890,getH13B
1892,getH13B
1919,getH13B
1928,getH13B
92,getH1B
93,getH1B
188,getH1B
304,getH1B
395,getH1B
454,getH1B
774,getH1B
1332,getH1B
1820,getH1B
1832,getH1B
2229,getH1B
2249,getH1B
2341,getH1B
86,getH1R
93,getH1R
94,getH1R
228,getH1R
304,getH1R
373,getH1R
390,getH1R
401,getH1R
420,getH1R
522,getH1R
578,getH1R
591,getH1R
615,getH1R
655,getH1R
718,getH1R
926,getH1R
978,getH1R
1048,getH1R
1072,getH1R
1144,getH1R
1183,getH1R
1230,getH1R
1237,getH1R
1248,getH1R
1265,getH1R
1271,getH1R
1273,getH1R
1281,getH1R
1286,getH1R
1293,getH1R
1304,getH1R
1335,getH1R
1392,getH1R
1455,getH1R
1556,getH1R
1590,getH1R
1659,getH1R
1665,getH1R
1682,getH1R
1755,getH1R
1820,getH1R
1852,getH1R
1884,getH1R
1902,getH1R
2183,getH1R
2195,getH1R
2362,getH1R
2368,getH1R
2375,getH1R
1826,getH2R
1829,getH2R
373,getH5R
390,getH5R
1183,getH5R
1265,getH5R
1293,getH5R
1665,getH5R
1682,getH5R
1884,getH5R
2368,getH5R
1826,getH6B
1829,getH6B
1471,getH6R
1826,getH6R
1829,getH6R
373,getH8R
390,getH8R
578,getH8R
1230,getH8R
1237,getH8R
1265,getH8R
1273,getH8R
1293,getH8R
1665,getH8R
1852,getH8R
1884,getH8R
2368,getH8R
373,getH9R
390,getH9R
420,getH9R
1230,getH9R
1237,getH9R
1265,getH9R
1273,getH9R
1293,getH9R
1665,getH9R
1682,getH9R
1852,getH9R
1884,getH9R
2183,getH9R
2368,getH9R
1048,getNObjects
2405,getNObjects
2405,getNucleusArea
2405,getNucleusAreaBbox
2405,getNucleusAreaConvex
263,getNucleusSolidity
621,getNucleusSolidity
946,getNucleusSolidity
953,getNucleusSolidity
1083,getNucleusSolidity
1168,getNucleusSolidity
1177,getNucleusSolidity
1261,getNucleusSolidity
1328,getNucleusSolidity
1471,getNucleusSolidity
1826,getNucleusSolidity
1829,getNucleusSolidity
2360,getNucleusSolidity
